topic_id,word_1,weight_1,word_2,weight_2,word_3,weight_3,word_4,weight_4,word_5,weight_5,word_6,weight_6,word_7,weight_7,word_8,weight_8,word_9,weight_9,word_10,weight_10,word_11,weight_11,word_12,weight_12,word_13,weight_13,word_14,weight_14,word_15,weight_15,word_16,weight_16,word_17,weight_17,word_18,weight_18,word_19,weight_19,word_20,weight_20
0,nw,0.009612,york,0.008093,bureau,0.007157,fbi,0.007105,advised,0.005354,woman,0.005297,national,0.004819,communist,0.004443,organization,0.004278,investigation,0.004189,party,0.003742,committee,0.003669,department,0.003534,stated,0.003487,january,0.003482,san,0.003449,program,0.003438,concerning,0.003394,informant,0.003218,confidential,0.003206
1,committee,0.024489,fbi,0.011892,nw,0.009979,select,0.008276,house,0.007479,bureau,0.006436,employee,0.006166,ssc,0.005809,inv,0.005759,senate,0.005629,attorney,0.005248,counsel,0.005067,legal,0.004827,investigation,0.004652,material,0.0046,dir,0.004295,j.,0.004205,w.,0.004118,contained,0.003943,ad,0.003922
2,black,0.017145,party,0.011918,bpp,0.011655,people,0.01112,panther,0.011019,chicago,0.009356,nw,0.008674,illinois,0.006461,police,0.005293,advised,0.004827,program,0.004448,fbi,0.003938,revolutionary,0.003409,community,0.003373,national,0.003372,stated,0.003087,pig,0.002889,hampton,0.002714,white,0.002675,power,0.002673
3,nosenko,0.017644,soviet,0.011232,kgb,0.010536,embassy,0.007751,said,0.007521,american,0.006648,top,0.00566,moscow,0.005368,department,0.005027,oswald,0.003972,mexico,0.003867,told,0.003611,section,0.003566,stated,0.003327,cuban,0.003148,asked,0.002948,reported,0.002682,know,0.002599,ussr,0.002565,wife,0.00238
4,station,0.00639,info,0.005993,mexico,0.005439,city,0.005006,cuban,0.004911,message,0.004635,cuba,0.004195,ref,0.003924,cite,0.003285,de,0.003173,reproduction,0.002911,dispatch,0.002787,per,0.002725,project,0.002721,prohibited,0.002677,unit,0.002489,total,0.002466,miami,0.002384,cable,0.00235,operational,0.002249
5,line,0.007626,board,0.006923,fbi,0.006337,investigation,0.005524,nw,0.004728,department,0.004215,attorney,0.003058,national,0.002948,enter,0.002864,public,0.002735,collection,0.002656,division,0.002642,committee,0.002608,federal,0.002598,jfk,0.002556,king,0.002538,material,0.002507,memo,0.002456,dated,0.0024,surveillance,0.002342
6,informant,0.022199,bureau,0.019867,section,0.012947,index,0.011593,investigation,0.008503,must,0.008201,card,0.007141,organization,0.007112,field,0.006118,letter,0.005867,nw,0.004595,statement,0.004432,concerning,0.004269,subversive,0.004094,potential,0.004018,sac,0.004016,data,0.003899,authority,0.003754,division,0.003752,set,0.00374
7,n't,0.006203,top,0.004926,said,0.004684,know,0.004235,cuba,0.003916,nw,0.003808,cuban,0.003654,meeting,0.003643,people,0.003602,think,0.003566,castro,0.003411,say,0.00289,thing,0.00274,get,0.00248,american,0.002426,question,0.002385,might,0.002381,go,0.002343,committee,0.002214,way,0.002123
8,de,0.059343,la,0.035159,que,0.027685,en,0.020045,el,0.017816,los,0.010154,del,0.008854,se,0.008128,por,0.007589,con,0.007306,un,0.006634,al,0.006012,para,0.005813,le,0.005682,su,0.004718,una,0.00438,lo,0.004285,cuba,0.003608,como,0.002965,si,0.002422
9,duty,0.009501,employee,0.008324,section,0.008147,performance,0.007621,personnel,0.00722,rating,0.006583,station,0.006098,code,0.005434,specific,0.00502,data,0.004813,salary,0.004621,grade,0.004554,signature,0.004495,period,0.003809,division,0.003408,training,0.003332,mo,0.003256,assignment,0.003227,address,0.003164,field,0.003121
