topic_id,word_1,weight_1,word_2,weight_2,word_3,weight_3,word_4,weight_4,word_5,weight_5,word_6,weight_6,word_7,weight_7,word_8,weight_8,word_9,weight_9,word_10,weight_10,word_11,weight_11,word_12,weight_12,word_13,weight_13,word_14,weight_14,word_15,weight_15,word_16,weight_16,word_17,weight_17,word_18,weight_18,word_19,weight_19,word_20,weight_20
0,nw,0.011412,york,0.010477,bureau,0.009184,fbi,0.008455,advised,0.007087,national,0.006409,communist,0.005835,organization,0.005586,woman,0.005367,jaffe,0.005142,party,0.00482,investigation,0.004236,furnished,0.00416,informant,0.004146,concerning,0.004145,stated,0.004113,letter,0.003832,committee,0.003592,soviet,0.003435,confidential,0.003385
1,committee,0.019672,fbi,0.014328,nw,0.009281,select,0.008949,ssc,0.0083,bureau,0.00825,senate,0.007756,inv,0.007208,legal,0.005796,material,0.005728,w.,0.005588,attorney,0.00558,j.,0.005562,contained,0.005494,dir,0.005419,counsel,0.005257,interview,0.004955,investigation,0.004913,ad,0.004881,letter,0.004502
2,black,0.021329,bpp,0.014522,panther,0.013811,party,0.013636,people,0.013205,chicago,0.01141,nw,0.008639,illinois,0.008087,police,0.00562,advised,0.005293,program,0.005146,community,0.004091,revolutionary,0.003967,fbi,0.003698,national,0.003638,pig,0.00348,hampton,0.00342,detroit,0.003181,stated,0.003181,white,0.003156
3,soviet,0.011998,mexico,0.009654,embassy,0.009327,doc,0.007062,said,0.006371,wife,0.006079,loginov,0.006054,jfk,0.005516,id,0.005383,told,0.004902,nsa,0.004698,dr.,0.004687,asked,0.004154,subj,0.004071,released,0.004034,pres,0.003565,rev,0.00355,pursuant,0.003404,mlk,0.003372,executive,0.003357
4,station,0.009139,mexico,0.008422,info,0.007667,city,0.007391,message,0.005861,ref,0.005367,cite,0.004587,dispatch,0.004272,project,0.004207,reproduction,0.003998,rid,0.003728,prohibited,0.003713,total,0.0037,index,0.003282,per,0.003169,operational,0.002994,cuban,0.0028,required,0.002769,routing,0.00272,unit,0.002714
5,line,0.01916,king,0.010695,enter,0.007852,nw,0.007284,fbi,0.006557,tax,0.0063,q.,0.006211,investigation,0.006207,sa,0.005937,committee,0.005925,robert,0.005176,schedule,0.005013,hsca,0.004703,total,0.004533,loss,0.004429,income,0.004362,attorney,0.004347,sclc,0.004226,atlanta,0.004029,house,0.003855
6,informant,0.026798,bureau,0.022689,index,0.013523,section,0.013248,must,0.009187,card,0.008313,investigation,0.008246,organization,0.007392,letter,0.006538,field,0.006077,statement,0.005118,nw,0.004907,sac,0.00487,concerning,0.0046,subversive,0.004333,potential,0.004242,confidential,0.004224,data,0.00413,set,0.004009,communist,0.003984
7,woman,0.009134,january,0.008963,vietnam,0.007783,congress,0.00651,american,0.006363,committee,0.005976,war,0.005452,san,0.005162,francisco,0.005068,mrs.,0.004738,peace,0.004711,demonstration,0.004619,confidential,0.004487,rankin,0.0044,sf,0.004135,california,0.003943,meeting,0.003742,nw,0.003712,wiley,0.003577,policy,0.003484
8,de,0.051445,la,0.020247,que,0.010964,el,0.007823,en,0.007549,del,0.007355,total,0.005453,cuba,0.004849,por,0.004772,para,0.004588,miami,0.004588,se,0.0045,los,0.004152,oct.,0.004123,m.,0.004107,al,0.003868,check,0.003802,dr.,0.003104,december,0.003056,da,0.002917
9,board,0.011878,p.,0.004596,pp,0.004554,public,0.004304,jfk,0.003996,national,0.003585,cover,0.003248,material,0.002824,june,0.002768,committee,0.002663,collection,0.002628,station,0.002614,american,0.002567,diem,0.00252,october,0.002326,category,0.002326,november,0.002234,declassification,0.002208,issue,0.002133,meeting,0.00204
10,committee,0.053415,house,0.030007,employee,0.027946,salary,0.02087,payroll,0.013228,appointment,0.013196,complete,0.012185,representative,0.011684,adjustment,0.011406,authorizing,0.011218,nw,0.010562,chairman,0.010267,change,0.009885,effective,0.009682,administration,0.008922,item,0.008797,annual,0.008473,approved,0.008395,must,0.008169,clerk,0.007796
