k,coherence_c_v,log_perplexity,alpha_min,alpha_max,alpha_mean,eta,train_seconds,coherence_seconds
5,0.485724,-8.4021,0.022394,0.123391,0.072841,0.555811,26.4,20.4
10,0.577223,-8.2596,0.013715,0.081812,0.028548,0.283149,33.8,25.6
15,0.626093,-8.2025,0.014373,0.093016,0.030018,0.190535,39.5,30.5
20,0.605129,-8.1757,0.012895,0.095304,0.027461,0.141438,46.7,30.6
25,0.612817,-8.1467,0.009544,0.114606,0.023103,0.107819,49.0,35.1
30,0.606354,-8.1156,0.009556,0.104465,0.022409,0.085947,61.9,42.9
35,0.587216,-8.0992,0.00883,0.106059,0.021261,0.071548,67.1,44.6
40,0.588377,-8.0836,0.00812,0.102596,0.01893,0.061528,63.4,48.9
50,0.568183,-8.0695,0.007498,0.090635,0.016428,0.047968,85.1,61.6
60,0.566006,-8.0609,0.006933,0.071691,0.013472,0.038898,94.4,61.8
