k,coherence_c_v,log_perplexity,alpha_min,alpha_max,alpha_mean,eta,train_seconds,coherence_seconds
18,0.575959,-8.1833,0.009979,0.069947,0.024869,0.147479,35.5,19.5
19,0.594716,-8.1661,0.010262,0.075432,0.024134,0.138554,35.3,20.6
20,0.591304,-8.1596,0.009729,0.073147,0.023181,0.131588,0.0,21.9
21,0.611066,-8.1518,0.009352,0.073369,0.022625,0.124555,36.7,21.6
22,0.610052,-8.1396,0.009258,0.070606,0.022282,0.117565,37.3,22.3
23,0.611532,-8.1288,0.009341,0.071022,0.021659,0.111847,37.1,25.1
24,0.611015,-8.1293,0.009406,0.070151,0.021417,0.108544,36.8,24.0
25,0.588755,-8.1218,0.009375,0.070532,0.020984,0.103514,0.0,25.1
26,0.589194,-8.1245,0.009342,0.07489,0.021144,0.098383,43.7,24.6
27,0.589041,-8.1261,0.008995,0.06925,0.020546,0.095178,44.3,24.7
28,0.591018,-8.1202,0.00911,0.07136,0.020372,0.090113,45.7,25.6
29,0.590828,-8.1178,0.008886,0.069014,0.019885,0.087111,49.0,24.9
30,0.586609,-8.1216,0.009101,0.071005,0.019571,0.083085,0.0,28.0
31,0.578869,-8.122,0.008724,0.072999,0.019324,0.080152,52.8,27.6
32,0.589134,-8.1277,0.008796,0.064193,0.019442,0.076635,41.7,26.6
33,0.605683,-8.1181,0.00888,0.064628,0.01911,0.072587,46.9,29.3
34,0.584398,-8.1185,0.008634,0.062762,0.01902,0.070046,47.4,29.5
35,0.593914,-8.1115,0.008607,0.065068,0.018686,0.067223,0.0,31.9
36,0.584343,-8.1145,0.008495,0.061358,0.019024,0.065299,50.6,33.1
37,0.580369,-8.1059,0.008538,0.07259,0.017345,0.061817,54.0,34.5
38,0.600238,-8.1003,0.008478,0.061894,0.017951,0.059961,53.0,36.6
39,0.59566,-8.0982,0.008375,0.084332,0.015834,0.057763,53.6,36.5
40,0.583702,-8.0958,0.008201,0.07411,0.015476,0.056344,0.0,37.0
