topic_id,word_1,weight_1,word_2,weight_2,word_3,weight_3,word_4,weight_4,word_5,weight_5,word_6,weight_6,word_7,weight_7,word_8,weight_8,word_9,weight_9,word_10,weight_10,word_11,weight_11,word_12,weight_12,word_13,weight_13,word_14,weight_14,word_15,weight_15,word_16,weight_16,word_17,weight_17,word_18,weight_18,word_19,weight_19,word_20,weight_20
0,line,0.068308,tax,0.027326,enter,0.026175,total,0.02048,income,0.0192,schedule,0.017869,amount,0.016807,loss,0.015434,instruction,0.010049,gain,0.009891,attach,0.009684,expense,0.008932,less,0.007885,credit,0.006806,business,0.006623,net,0.006578,property,0.006569,deduction,0.0062,social,0.005862,sale,0.005828
1,told,0.005098,know,0.004002,soviet,0.003988,wife,0.003819,n't,0.003741,asked,0.003551,embassy,0.003496,say,0.003276,get,0.003196,go,0.002969,meeting,0.002867,friend,0.00282,like,0.002605,mexico,0.002488,good,0.002473,de,0.002369,man,0.002311,loginov,0.00228,people,0.002211,come,0.002129
2,de,0.067729,la,0.040848,en,0.02399,el,0.021531,los,0.012022,del,0.010605,se,0.009552,por,0.009333,con,0.008908,un,0.00787,para,0.007193,al,0.006936,le,0.005892,e,0.005691,su,0.005418,una,0.005388,lo,0.005125,cuba,0.004454,como,0.003683,si,0.002711
3,king,0.017006,q.,0.013574,sclc,0.0098,communist,0.009734,atlanta,0.009492,levison,0.008716,o'dell,0.006981,sullivan,0.006561,fbi,0.006508,novel,0.006145,attorney,0.006081,klan,0.005581,party,0.005353,belmont,0.005225,york,0.005073,letter,0.004385,committee,0.004296,racial,0.004232,negro,0.004226,luther,0.004045
4,n't,0.013023,know,0.007995,think,0.0075,president,0.006646,assassination,0.006203,washington,0.00557,thing,0.00523,meeting,0.005161,area,0.00496,people,0.004946,question,0.004561,say,0.004496,senator,0.004428,paul,0.004305,phone,0.004147,yes,0.004134,street,0.004048,ward,0.003865,get,0.003604,castro,0.003571
5,york,0.009515,woman,0.006494,fbi,0.006365,bureau,0.006345,washington,0.006329,national,0.005959,organization,0.004948,san,0.004638,party,0.004159,california,0.004083,investigation,0.003617,francisco,0.003598,jaffe,0.003462,department,0.003344,january,0.003305,communist,0.003266,committee,0.003207,program,0.003182,march,0.00317,meeting,0.003058
6,code,0.01788,personnel,0.016122,data,0.013804,salary,0.010416,grade,0.00993,designation,0.007915,signature,0.00734,effective,0.006729,career,0.006664,previous,0.006395,rate,0.005467,category,0.005425,retirement,0.005302,field,0.005124,fund,0.005076,step,0.00504,pay,0.004827,legal,0.004766,serial,0.004762,tax,0.004658
7,board,0.015551,assassination,0.012051,jfk,0.00707,release,0.006937,public,0.006024,cover,0.005275,tichborn,0.004944,collection,0.004761,miami,0.004431,material,0.004294,president,0.003588,arrb,0.003383,disclosure,0.00334,oswald,0.003219,wiley,0.003181,issue,0.003001,fbi,0.002877,kennedy,0.002777,employee,0.002704,additional,0.002422
8,mexico,0.008927,city,0.007741,cuba,0.004036,birth,0.003712,address,0.003588,country,0.003579,de,0.00338,cuban,0.003316,soviet,0.003311,approval,0.002926,known,0.00283,july,0.002662,trace,0.002622,october,0.002396,operational,0.002385,wife,0.002353,investigation,0.002297,havana,0.002212,communist,0.002198,embassy,0.002123
9,cuban,0.007778,castro,0.005977,cuba,0.005817,miami,0.004268,u.s.,0.00371,june,0.003529,bosch,0.003432,july,0.003138,hunt,0.003012,dated,0.002939,meeting,0.002732,diem,0.002642,cover,0.00263,contract,0.002458,fbi,0.002356,exile,0.002356,president,0.002345,october,0.002334,mar,0.00219,project,0.002173
